id;NumSiret;RSocMo;LocalibCommune;LocaCodArdt;LocalibDept;LocaCodDept;LocalibReg;LocaCodReg;CodeINSEECommuneMo;VilleResidMo;CodePostalMo;RueMo;LibCodeNafMo;LibNatureMo;GeoCodeLocal;geeoinseemo;GeoInseeMo;TotalDepRetvalidAC;TotpayeMoMt;TotpayePrivMt;TotpayeAPMt;TotpayeDeptMt;TotpayeRegionMt;TotpayeEtatMt;TotpayeUEMt;DerPfvTotProgRegionCper;DerPfvTotProgEtatCper;DerPfvTotProgApMt;DerPfvTotProgDeptMt;DerPfvTotProgRegionMt;DerPfvTotProgEtatMt;DerPfvTotProgUEMt;DerPfvCTotEligProgMt;MntCoutglobProjet;DtPremierComite;DtLimFinRealPhy;DtLimDebutRealPhy;DtDepotDoss;IndicSoldeDossier;IndicPayeDossier;LibStatus;LibDossier;LibelleFonds;CodeDossier;LocaCodCommune;LocalibCanton;LocaCodCanton;LocalibArdt
1;22220001600327;Conseil Général des Côtes d'Armor;0;0;COTES-D´ARMOR;22;BRETAGNE;53;22278;SAINT-BRIEUC CEDEX;22023;9 place du Général de Gaulle*-RC-*CS 42371;Administration publique générale;DEPARTEMENT;;;48.5149806053, -2.76154552773;90801;90801;0.0;0;0;0;0;0;0.0;0.0;0;0;0.0;0.0;43200.0;92340.0;356117.4;04/11/2013;21/04/2014;22/04/2013;2013-05-31;N;O;Programmé;Marché accompagnement vers et dans l'emploi des bénéficiaires du rSa socle et prospection des employeurs dans le département des Côtes d'Armor - LOT n°2 ARMOR FORMATION;Fonds Social Européen;36077;0;0;0;Plusieurs arrondissements
2;22220001600327;Conseil Général des Côtes d'Armor;0;1;COTES-D´ARMOR;22;BRETAGNE;53;22278;SAINT-BRIEUC CEDEX;22023;9 place du Général de Gaulle*-RC-*CS 42371;Administration publique générale;DEPARTEMENT;;;48.5149806053, -2.76154552773;240508.44;136459.53;0.0;0;0;43921.8;0;60127.11;0.0;0.0;0;0;0.0;0.0;60127.11;240508.44;294985.8;08/10/2013;31/07/2014;01/03/2010;2013-03-25;O;O;Programmé;Aménagement d'une voie cyclable le long de la DR 34 sur le site du cap Fréhel;Fonds Européen de Développement Régional;35283;0;MATIGNON;24;DINAN
3;22220001600327;Conseil Général des Côtes d'Armor;0;0;COTES-D´ARMOR;22;BRETAGNE;53;22278;SAINT-BRIEUC CEDEX;22023;9 place du Général de Gaulle*-RC-*CS 42371;Administration publique générale;DEPARTEMENT;;;48.5149806053, -2.76154552773;0;0;0.0;0;0;0;0;0;0.0;0.0;0;0;0.0;0.0;148207.464;296414.928;237162.53;02/12/2013;31/12/2014;01/10/2013;2013-07-18;N;N;Programmé;Actions de remobilisation des bénéficiaires du rSa sur un projet personnel ayant pour finalité de les inscrire dans un parcours socio-professionnel;Fonds Social Européen;36019;0;0;0;0
4;31545808300096;Compagnons Bâtisseurs Bretagne;RENNES;3;ILLE-ET-VILAINE;35;BRETAGNE;53;35238;RENNES;35000;216 route de Lorient - BP 42037;Autres organisations fonctionnant par adhésion volontaire;PERSONNE MORALE DE DROIT PRIVE;;;48.1119791219, -1.68186449144;0;0;0.0;0;0;0;0;0;0.0;0.0;78828.85;17455.2;0.0;4420.008;20250.0;155240.46;695339.81;19/06/2014;30/06/2014;01/01/2014;2014-04-04;N;N;Programmé;Accompagner, développer, évaluer, valoriser et certifier les compétences socio pro - Chantier - 1er sem 2014;Fonds Social Européen;37058;35238;RENNES;98;RENNES
5;22220001600327;Conseil Général des Côtes d'Armor;0;0;COTES-D´ARMOR;22;BRETAGNE;53;22278;SAINT-BRIEUC CEDEX;22023;9 place du Général de Gaulle*-RC-*CS 42371;Administration publique générale;DEPARTEMENT;;;48.5149806053, -2.76154552773;93142.5;46571.26;0.0;0;0;0;0;46571.25;0.0;0.0;0;0;0.0;0.0;46571.247;93142.503;301554;08/11/2010;14/03/2011;15/03/2010;2010-06-25;O;O;Programmé;Marché n° 09S0238 - Accompagnement vers et dans l'emploi des allocataires du rSa  socle  -  lot 2 - STEREDENN;Fonds Social Européen;31309;0;0;0;0
6;22220001600327;Conseil Général des Côtes d'Armor;0;0;COTES-D´ARMOR;22;BRETAGNE;53;22278;SAINT-BRIEUC CEDEX;22023;9 place du Général de Gaulle*-RC-*CS 42371;Administration publique générale;DEPARTEMENT;;;48.5149806053, -2.76154552773;60724.32;34219.32;0.0;0;0;0;0;26505;0.0;0.0;0;0;0.0;0.0;26505.0;53010.0;53010;03/12/2012;31/12/2013;01/01/2012;2012-11-10;N;O;Programmé;Elaboration du pacte territorial, des pactes locaux d'Insertion et du futur programme départemental d'insertion;Fonds Social Européen;34447;0;0;0;0
7;22220001600327;Conseil Général des Côtes d'Armor;0;0;COTES-D´ARMOR;22;BRETAGNE;53;22278;SAINT-BRIEUC CEDEX;22023;9 place du Général de Gaulle*-RC-*CS 42371;Administration publique générale;DEPARTEMENT;;;48.5149806053, -2.76154552773;545077.34;545077.34;0.0;0;0;0;0;0;0.0;0.0;0;0;0.0;0.0;272957.4;545915.7;522628.2;02/04/2012;31/12/2012;01/01/2011;2011-11-10;N;O;Programmé;Animation territoriale des politiques socioprofessionnelles du département des Côtes d'Armor;Fonds Social Européen;33495;0;0;0;0
8;22220001600327;Conseil Général des Côtes d'Armor;0;0;COTES-D´ARMOR;22;BRETAGNE;53;22278;SAINT-BRIEUC CEDEX;22023;9 place du Général de Gaulle*-RC-*CS 42371;Administration publique générale;DEPARTEMENT;;;48.5149806053, -2.76154552773;36400.33;0;0.0;0;10920.1;0;0;25480.23;0.0;0.0;0;10920.1;0.0;0.0;25480.233;36400.329;106470;01/12/2008;31/12/2008;01/01/2008;2008-09-22;O;O;Programmé;Assistance Technique FSE 2008;Fonds Social Européen;28364;0;0;0;0
9;22220001600327;Conseil Général des Côtes d'Armor;0;0;COTES-D´ARMOR;22;BRETAGNE;53;22278;SAINT-BRIEUC CEDEX;22023;9 place du Général de Gaulle*-RC-*CS 42371;Administration publique générale;DEPARTEMENT;;;48.5149806053, -2.76154552773;70124.98;24613.87;0.0;0;0;0;0;45511.11;0.0;0.0;0;0;0.0;0.0;45511.11;70124.976;106470;06/12/2010;31/12/2010;01/01/2010;2010-06-16;O;O;Programmé;Assistance Technique FSE 2010;Fonds Social Européen;31381;0;0;0;0
10;23350001600040;Conseil Régional de Bretagne;0;0;0;0;BRETAGNE;53;35238;RENNES;35000;283 avenue du Général Patton - CS 21101;Administration publique générale;REGION;;;48.1119791219, -1.68186449144;0;0;0.0;0;0;0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;110686.5;00/01/1900;07/04/2011;04/01/2009;2009-07-09;N;N;Abandonné / Déprogrammé;Marche 14586 - Technicien en éco-construction - Quimper, Plouhinec;Fonds Social Européen;29982;0;0;0;0
